time,open,high,low,close,Plot,Plot,Plot,Plot,SMA #1,SMA #2,SMA #3,VWAP
2024-01-19T13:30:00-05:00,4825.33,4832.43,4825.33,4832.2,NaN,NaN,NaN,NaN,4806.292999999995,4763.036400000001,4750.818449999996,4802.216994088962
2024-01-19T14:00:00-05:00,4832.21,4842.07,4831.1,4835.37,NaN,NaN,NaN,NaN,4811.734999999995,4764.207600000001,4751.057899999996,4805.06703340336
2024-01-19T14:30:00-05:00,4835.74,4838.03,4829.18,4837.9,NaN,NaN,NaN,NaN,4816.071999999995,4765.394000000001,4751.294099999996,4807.380415060636
2024-01-19T15:00:00-05:00,4837.84,4840.97,4834.19,4836.97,NaN,NaN,NaN,NaN,4820.190999999995,4766.6238,4751.535949999996,4809.973536818064
2024-01-19T15:30:00-05:00,4837.09,4840.12,4834.6,4839.02,NaN,NaN,NaN,1e+21,4824.235999999995,4768.0326000000005,4751.788649999996,4814.992663495026
2024-01-19T16:00:00-05:00,4839.67,4839.82,4839.67,4839.82,NaN,NaN,NaN,NaN,4827.773999999995,4769.616600000001,4752.028299999995,4819.011244383505
2024-01-22T09:30:00-05:00,4853.42,4867.86,4853.42,4866.62,NaN,NaN,NaN,NaN,4833.9999999999945,4771.8292,4752.410599999996,4862.361544455878
2024-01-22T10:00:00-05:00,4866.76,4868.41,4858.77,4860.1,NaN,NaN,NaN,NaN,4839.097999999995,4773.7102,4752.773949999995,4862.489404882832
2024-01-22T10:30:00-05:00,4858.62,4859.26,4849.62,4850.94,NaN,NaN,NaN,NaN,4842.414999999995,4775.5932,4753.1099499999955,4860.357249133296
2024-01-22T11:00:00-05:00,4851.01,4857.04,4847.19,4856.17,NaN,1e+21,NaN,NaN,4845.510999999995,4777.6728,4753.473999999996,4859.145146384423
2024-01-22T11:30:00-05:00,4856.37,4857.63,4851.22,4856.46,NaN,NaN,NaN,NaN,4847.936999999995,4779.610000000001,4753.826699999996,4858.587829135527
2024-01-22T12:00:00-05:00,4856.52,4857.45,4848.78,4854.9,NaN,NaN,1e+21,NaN,4849.889999999995,4781.5722000000005,4754.176249999996,4858.088149988511
