time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,SMA #1,SMA #2,SMA #3,SMA #4,SMA #5,SMA #6,SMA #7,SMA #8,SMA #9,SMA #10,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3
2023-12-13T13:30:00-05:00,4646.582225591033,4648.5,4643.23,4645.360000000001,NaN,NaN,NaN,NaN,NaN,4647.879500000026,4620.129849999987,4577.4192124999945,4584.981783333326,4577.4192124999945,4566.5929699999915,4550.663716666689,4501.637118750015,4438.031639999992,4418.710654166668,4648.637609915564,4651.384348858972,4645.890870972156,NaN,NaN,NaN,NaN
2023-12-13T14:00:00-05:00,4645.971112795517,4680.12,4645.971112795517,4662.2975,NaN,NaN,NaN,NaN,NaN,4649.738250000027,4621.451149999986,4578.038899999994,4585.698033333325,4578.038899999994,4567.2562399999915,4551.508058333356,4502.7617750000145,4438.860519999992,4419.179187500001,4651.461918692188,4659.24401109409,4643.679826290287,NaN,NaN,NaN,NaN
2023-12-13T14:30:00-05:00,4654.134306397758,4702.73,4654.134306397758,4688.1449999999995,NaN,NaN,NaN,NaN,NaN,4653.838000000027,4623.2372499999865,4578.696437499994,4586.416549999993,4578.696437499994,4568.006039999992,4552.420233333356,4503.9393187500145,4439.751064999993,4419.690604166667,4657.094831742787,4672.780406071376,4641.409257414199,NaN,NaN,NaN,NaN
2023-12-13T15:00:00-05:00,4671.139653198879,4709.69,4671.139653198879,4696.0075,NaN,NaN,NaN,NaN,NaN,4658.597500000027,4625.260349999986,4579.413187499995,4587.209183333326,4579.413187499995,4568.7907999999925,4553.356050000022,4505.096600000015,4440.665809999993,4420.246195833334,4662.8947646441775,4683.406141145198,4642.383388143157,NaN,NaN,NaN,NaN
2023-12-13T15:30:00-05:00,4683.57357659944,4706.37,4683.57357659944,4697.625,NaN,NaN,NaN,1e+21,NaN,4663.168500000027,4627.4854499999865,4580.130749999994,4588.059216666659,4580.130749999994,4569.591569999992,4554.343908333356,4506.241793750015,4441.585759999994,4420.838354166668,4669.891827034749,4693.20145506539,4646.582199004109,NaN,NaN,NaN,NaN
2023-12-13T16:00:00-05:00,4690.59928829972,4707.19,4690.59928829972,4707.135,NaN,NaN,NaN,NaN,NaN,4668.637500000026,4629.909249999986,4580.897774999994,4589.013666666659,4580.897774999994,4570.435649999991,4555.371508333355,4507.414918750014,4442.537424999993,4421.458341666668,4675.55209282714,4700.499529384815,4650.604656269465,NaN,NaN,NaN,NaN
2023-12-14T09:30:00-05:00,4698.86714414986,4738.57,4698.86714414986,4729.8075,NaN,NaN,NaN,NaN,NaN,4676.626250000027,4632.685899999986,4581.755862499994,4590.1528166666585,4581.755862499994,4571.357409999991,4556.458275000023,4508.543187500014,4443.557494999993,4422.106475000002,4728.884350213123,4732.542320449348,4725.226379976898,NaN,NaN,NaN,NaN
2023-12-14T10:00:00-05:00,4714.33732207493,4733.23,4714.33732207493,4727.077499999999,NaN,NaN,NaN,NaN,NaN,4684.558000000027,4635.337449999986,4582.586749999995,4591.2390999999925,4582.586749999995,4572.258349999991,4557.516275000023,4509.640762500015,4444.577759999992,4422.742229166668,4727.628218897286,4731.201476325298,4724.0549614692745,NaN,NaN,NaN,NaN
2023-12-14T10:30:00-05:00,4720.707411037465,4728.67,4718.31,4724.4375,NaN,NaN,NaN,NaN,NaN,4692.303500000026,4637.907949999986,4583.421787499994,4592.286533333326,4583.421787499994,4573.135209999991,4558.5421416666895,4510.705906250015,4445.539519999993,4423.367020833335,4726.566111980292,4730.265229300048,4722.866994660535,NaN,NaN,NaN,NaN
2023-12-14T11:00:00-05:00,4722.572455518733,4727.64,4716.24,4722.88,NaN,1e+21,NaN,NaN,NaN,4700.077250000027,4640.3817999999865,4584.241387499995,4593.325533333325,4584.241387499995,4573.993209999991,4559.561608333355,4511.763193750015,4446.485869999992,4423.989037500001,4725.610481032612,4729.657792132849,4721.563169932376,NaN,NaN,NaN,NaN
2023-12-14T11:30:00-05:00,4722.726227759366,4727.82,4717.16,4723.005,NaN,NaN,NaN,NaN,NaN,4707.841750000027,4642.770899999987,4585.056349999995,4594.373516666658,4585.056349999995,4574.852869999992,4560.589083333356,4512.822425000014,4447.422364999993,4424.581520833335,4725.275762450207,4729.237330489416,4721.314194410998,NaN,NaN,NaN,NaN
2023-12-14T12:00:00-05:00,4722.865613879683,4733.85,4722.865613879683,4730.0824999999995,NaN,NaN,1e+21,NaN,NaN,4714.620250000026,4645.275849999987,4585.906499999995,4595.472316666658,4585.906499999995,4575.744989999992,4561.646683333356,4513.901918750014,4448.387789999993,4425.192741666669,4725.874648602319,4729.990714811824,4721.758582392815,NaN,NaN,NaN,NaN
